Variable_Name,Sensor,Range_Low,Range_High,Units,Site
RH,MET_ATM,0,100,%,CAP_001
TA,MET_ATM,-10,50,deg C,CAP_001
VPD,MET_ATM,-10,50,hPa,CAP_001
SWC_1_1_1,MET_SOIL,0,100,%,CAP_001
SWC_1_2_1,MET_SOIL,0,100,%,CAP_001
SWC_1_3_1,MET_SOIL,0,100,%,CAP_001
SWC_1_4_1,MET_SOIL,0,100,%,CAP_001
SWC_1_5_1,MET_SOIL,0,100,%,CAP_001
SWC_1_6_1,MET_SOIL,0,100,%,CAP_001
SWC_1_7_1,MET_SOIL,0,100,%,CAP_001
SWC_1_8_1,MET_SOIL,0,100,%,CAP_001
SWC_1_9_1,MET_SOIL,0,100,%,CAP_001
TS_1_1_1,MET_SOIL,-5,60,deg C,CAP_001
TS_1_2_1,MET_SOIL,-5,60,deg C,CAP_001
TS_1_3_1,MET_SOIL,-5,60,deg C,CAP_001
TS_1_4_1,MET_SOIL,-5,60,deg C,CAP_001
TS_1_5_1,MET_SOIL,-5,60,deg C,CAP_001
TS_1_6_1,MET_SOIL,-5,60,deg C,CAP_001
TS_1_7_1,MET_SOIL,-5,60,deg C,CAP_001
TS_1_8_1,MET_SOIL,-5,60,deg C,CAP_001
TS_1_9_1,MET_SOIL,-5,60,deg C,CAP_001
SEC_1_1_1,MET_SOIL,0,10,dS/m,CAP_001
SEC_1_2_1,MET_SOIL,0,10,dS/m,CAP_001
SEC_1_3_1,MET_SOIL,0,10,dS/m,CAP_001
SEC_1_4_1,MET_SOIL,0,10,dS/m,CAP_001
SEC_1_5_1,MET_SOIL,0,10,dS/m,CAP_001
SEC_1_6_1,MET_SOIL,0,10,dS/m,CAP_001
SEC_1_7_1,MET_SOIL,0,10,dS/m,CAP_001
SEC_1_8_1,MET_SOIL,0,10,dS/m,CAP_001
SEC_1_9_1,MET_SOIL,0,10,dS/m,CAP_001
T_SOIL,MET_SOIL,-5,60,deg C,CAP_001
NETRAD,MET_RAD,-200,1000,W m-2,CAP_001
SW_IN,MET_RAD,-20,1200,W m-2,CAP_001
SW_OUT,MET_RAD,-20,300,W m-2,CAP_001
LW_IN,MET_RAD,200,550,W m-2,CAP_001
LW_OUT,MET_RAD,300,650,W m-2,CAP_001
PPFD_IN,MET_RAD,0,2200,m-2 s-1,CAP_001
PPFD_BC_IN,MET_RAD,0,2200,m-2 s-1,CAP_001
SPEC_RED_REFL,MET_RAD,0,0.12,index,CAP_001
SPEC_NIR_REFL,MET_RAD,0,0.65,index,CAP_001
NDVI,MET_RAD,0,1,index,CAP_001
ARVI2,MET_RAD,0,1,index,CAP_001
IPVI,MET_RAD,1,5,index,CAP_001
DVI,MET_RAD,0,1,index,CAP_001
SR,MET_RAD,1,20,index,CAP_001
MSR,MET_RAD,1,5,index,CAP_001
T_CANOPY,Biological,0,50,deg C,CAP_001
WP,Biological,-30,0,Bar,CAP_001
BattV,MET_ATM,10,15,V,CAP_001
e_sat_probe,MET_ATM,-1,10,kPa,CAP_001
e_probe,MET_ATM,0,6,kPa,CAP_001
RH,MET_ATM,0,100,%,CAP_002
TA,MET_ATM,-10,50,deg C,CAP_002
VPD,MET_ATM,-10,50,hPa,CAP_002
SWC_1_1_1,MET_SOIL,0,100,%,CAP_002
SWC_1_2_1,MET_SOIL,0,100,%,CAP_002
SWC_1_3_1,MET_SOIL,0,100,%,CAP_002
SWC_1_4_1,MET_SOIL,0,100,%,CAP_002
SWC_1_5_1,MET_SOIL,0,100,%,CAP_002
SWC_1_6_1,MET_SOIL,0,100,%,CAP_002
SWC_1_7_1,MET_SOIL,0,100,%,CAP_002
SWC_1_8_1,MET_SOIL,0,100,%,CAP_002
SWC_1_9_1,MET_SOIL,0,100,%,CAP_002
TS_1_1_1,MET_SOIL,-5,60,deg C,CAP_002
TS_1_2_1,MET_SOIL,-5,60,deg C,CAP_002
TS_1_3_1,MET_SOIL,-5,60,deg C,CAP_002
TS_1_4_1,MET_SOIL,-5,60,deg C,CAP_002
TS_1_5_1,MET_SOIL,-5,60,deg C,CAP_002
TS_1_6_1,MET_SOIL,-5,60,deg C,CAP_002
TS_1_7_1,MET_SOIL,-5,60,deg C,CAP_002
TS_1_8_1,MET_SOIL,-5,60,deg C,CAP_002
TS_1_9_1,MET_SOIL,-5,60,deg C,CAP_002
SEC_1_1_1,MET_SOIL,0,10,dS/m,CAP_002
SEC_1_2_1,MET_SOIL,0,10,dS/m,CAP_002
SEC_1_3_1,MET_SOIL,0,10,dS/m,CAP_002
SEC_1_4_1,MET_SOIL,0,10,dS/m,CAP_002
SEC_1_5_1,MET_SOIL,0,10,dS/m,CAP_002
SEC_1_6_1,MET_SOIL,0,10,dS/m,CAP_002
SEC_1_7_1,MET_SOIL,0,10,dS/m,CAP_002
SEC_1_8_1,MET_SOIL,0,10,dS/m,CAP_002
SEC_1_9_1,MET_SOIL,0,10,dS/m,CAP_002
T_SOIL,MET_SOIL,-5,60,deg C,CAP_002
T_CANOPY,Biological,0,50,deg C,CAP_002
BattV,MET_ATM,10,15,V,CAP_002
e_sat_probe,MET_ATM,-1,10,kPa,CAP_002
e_probe,MET_ATM,0,6,kPa,CAP_002
WP,Biological,-30,0,Bar,CAP_002
RH,MET_ATM,0,100,%,WIN_001
TA,MET_ATM,-10,50,deg C,WIN_001
VPD,MET_ATM,-10,50,hPa,WIN_001
SWC_1_1_1,MET_SOIL,0,100,%,WIN_001
SWC_1_2_1,MET_SOIL,0,100,%,WIN_001
SWC_1_3_1,MET_SOIL,0,100,%,WIN_001
SWC_1_4_1,MET_SOIL,0,100,%,WIN_001
SWC_1_5_1,MET_SOIL,0,100,%,WIN_001
SWC_1_6_1,MET_SOIL,0,100,%,WIN_001
SWC_1_7_1,MET_SOIL,0,100,%,WIN_001
SWC_1_8_1,MET_SOIL,0,100,%,WIN_001
SWC_1_9_1,MET_SOIL,0,100,%,WIN_001
TS_1_1_1,MET_SOIL,-5,60,deg C,WIN_001
TS_1_2_1,MET_SOIL,-5,60,deg C,WIN_001
TS_1_3_1,MET_SOIL,-5,60,deg C,WIN_001
TS_1_4_1,MET_SOIL,-5,60,deg C,WIN_001
TS_1_5_1,MET_SOIL,-5,60,deg C,WIN_001
TS_1_6_1,MET_SOIL,-5,60,deg C,WIN_001
TS_1_7_1,MET_SOIL,-5,60,deg C,WIN_001
TS_1_8_1,MET_SOIL,-5,60,deg C,WIN_001
TS_1_9_1,MET_SOIL,-5,60,deg C,WIN_001
SEC_1_1_1,MET_SOIL,0,10,dS/m,WIN_001
SEC_1_2_1,MET_SOIL,0,10,dS/m,WIN_001
SEC_1_3_1,MET_SOIL,0,10,dS/m,WIN_001
SEC_1_4_1,MET_SOIL,0,10,dS/m,WIN_001
SEC_1_5_1,MET_SOIL,0,10,dS/m,WIN_001
SEC_1_6_1,MET_SOIL,0,10,dS/m,WIN_001
SEC_1_7_1,MET_SOIL,0,10,dS/m,WIN_001
SEC_1_8_1,MET_SOIL,0,10,dS/m,WIN_001
SEC_1_9_1,MET_SOIL,0,10,dS/m,WIN_001
T_SOIL,MET_SOIL,-5,60,deg C,WIN_001
NETRAD,MET_RAD,-200,1000,W m-2,WIN_001
SW_IN,MET_RAD,-20,1200,W m-2,WIN_001
SW_OUT,MET_RAD,-20,300,W m-2,WIN_001
LW_IN,MET_RAD,200,550,W m-2,WIN_001
LW_OUT,MET_RAD,300,650,W m-2,WIN_001
T_CANOPY,Biological,0,50,deg C,WIN_001
BattV,MET_ATM,10,15,V,WIN_001
e_sat_probe,MET_ATM,-1,10,kPa,WIN_001
WP,Biological,-30,0,Bar,WIN_001
e_probe,MET_ATM,0,6,kPa,WIN_001
RH,MET_ATM,0,100,%,OAK_001
TA,MET_ATM,-10,50,deg C,OAK_001
VPD,MET_ATM,-10,50,hPa,OAK_001
SWC_1_1_1,MET_SOIL,0,100,%,OAK_001
SWC_1_2_1,MET_SOIL,0,100,%,OAK_001
SWC_1_3_1,MET_SOIL,0,100,%,OAK_001
SWC_1_4_1,MET_SOIL,0,100,%,OAK_001
SWC_1_5_1,MET_SOIL,0,100,%,OAK_001
SWC_1_6_1,MET_SOIL,0,100,%,OAK_001
SWC_1_7_1,MET_SOIL,0,100,%,OAK_001
SWC_1_8_1,MET_SOIL,0,100,%,OAK_001
SWC_1_9_1,MET_SOIL,0,100,%,OAK_001
TS_1_1_1,MET_SOIL,-5,60,deg C,OAK_001
TS_1_2_1,MET_SOIL,-5,60,deg C,OAK_001
TS_1_3_1,MET_SOIL,-5,60,deg C,OAK_001
TS_1_4_1,MET_SOIL,-5,60,deg C,OAK_001
